"listingValue","product_name","product_url","product_features_name","product_features_Values_name","remove"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Operating Requirements","Maximum shipping altitude: 35,000 feet","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Size and Weights","Height: 0.16–0.63 inch (0.41–1.61 cm)","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Size and Weights","Width: 11.97 inches (30.41 cm)","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Size and Weights","Depth: 8.36 inches (21.24 cm)","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Size and Weights","Weight: 2.8 pounds (1.29 kg)3","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Operating System","","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Accessibility","","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Photos","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","iMovie","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","GarageBand","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Pages","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Numbers","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Keynote","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Siri","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Safari","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Mail","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","FaceTime","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Messages","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Maps","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","News","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Stocks","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Home","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Voice Memos","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Notes","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Calendar","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Contacts","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Reminders","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Photo Booth","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Preview","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Books","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","App Store","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Time Machine","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","TV","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Music","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Podcasts","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","Find My","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Built-in Apps4","QuickTime Player","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","In the Box","MacBook Air","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","In the Box","30W USB-C Power Adapter","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","In the Box","USB-C Charge Cable (2 m)","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Configure to Order","","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","MacBook Air and the Environment","","1"
"","MacBook Air (M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP825?viewlocale=en_US&locale=en_US","Acoustic Performance","","1"
